"TOTAL_AREA","PID","CITY_CODE","PROP_NAME","SITUS","CITY_SITUS","ZIP_SITUS","county","latitude","longitude","location_type","good","building_type"
"292412005700040","304","ORL","MEDLINE","10601 SOUTHPORT DR","ORLANDO","32824","","28.412288665771484","-81.36851501464844","ROOFTOP","1","commercial"
"312222911101000","301","ORG","TOWERS AT WATERFORD","638 N ALAFAYA TRL","ORLANDO","32828","","28.556438446044922","-81.2088394165039","ROOFTOP","1","commercial"
"292329633101000","298","ORL","FEDEX GROUND PACKAGE SYSTEM","3000 DIRECTORS ROW","ORLANDO","32809","","28.46229362487793","-81.42695617675781","ROOFTOP","1","commercial"
"282325276800010","298","ORL","RAMADA INN INTERNATIONAL DRIVE","6500 INTERNATIONAL DR","ORLANDO","32819","","28.45810890197754","-81.4702377319336","APPROXIMATE","0","commercial"
"282223358100010","297","ORG","HIGHLAND LAKE CENTER","7305 W COLONIAL DR","ORLANDO","32818","","28.55435562133789","-81.48055267333984","ROOFTOP","1","commercial"
"292235202806010","297","ORL","WESTMINSTER TOWERS","70 S LUCERNE CIR W","ORLANDO","32801","","28.533157348632812","-81.37910461425781","ROOFTOP","1","commercial"
"312415000000005","296","ORG","CAMPUS CRUSADE FOR CHRIST INT","100 LAKE HART DR","ORLANDO","32832","","28.40648651123047","-81.20222473144531","ROOFTOP","1","commercial"
"292126546002000","296","MTL","SHERATON HOTEL ORLANDO NORTH","600 N LAKE DESTINY RD","MAITLAND","32751","","28.632129669189453","-81.39111328125","ROOFTOP","1","commercial"
"302331000000022","295","ORG","UPS - UNITED PARCEL SERVICE","8901 ATLANTIC AVE","ORLANDO","32824","","28.43822479248047","-81.35519409179688","ROOFTOP","1","commercial"
"282325000000022","291","ORG","COCO KEY RESORT HOTEL","7400 INTERNATIONAL DR","ORLANDO","32819","","28.454242706298828","-81.47126007080078","ROOFTOP","1","commercial"
"272422000000007","291","BAY","RCID SOLID WASTE MATERIAL RECOVERY FACILITY","2451 RECYCLE WAY","BAY LAKE","32830","","28.378305435180664","-81.59654235839844","ROOFTOP","1","commercial"
"292235648502000","290","ORL","OUC-RELIABLE PLAZA","100 W ANDERSON ST","ORLANDO","32801","","28.536191940307617","-81.37976837158203","ROOFTOP","1","commercial"
"292302030000010","289","ORL","ARNOLD PALMER CHILD & WOMEN HOSPITAL","75 BONNIE LOCH CT","ORLANDO","32806","","28.523208618164062","-81.37935638427734","ROOFTOP","1","commercial"
"282402000000013","289","ORG","","7449 DOCS GROVE CIR","ORLANDO","32819","","28.428518295288086","-81.48181915283203","ROOFTOP","1","commercial"
"292127000000003","284","MTL","MAITLAND FORUM","2600 LAKE LUCIEN DR","MAITLAND","32751","","28.629735946655273","-81.39671325683594","ROOFTOP","1","commercial"
"282335000000001","283","ORG","SAND LAKE IV","7380 W SAND LAKE RD","ORLANDO","32819","","28.449331283569336","-81.48163604736328","ROOFTOP","1","commercial"
"292211071500010","282","ORL","BISHOP MOORE HIGH SCHOOL","3901 EDGEWATER DR","ORLANDO","32804","","28.587738037109375","-81.38993835449219","ROOFTOP","1","commercial"
"292235135402010","279","ORL","CNL PLAZA II","420 S ORANGE AVE","ORLANDO","32801","","28.538148880004883","-81.37971496582031","ROOFTOP","1","commercial"
"292334861000080","279","ORG","FLORIDA MALL-DILLARDS","8001 S ORANGE BLOSSOM TRL","ORLANDO","32809","","28.446138381958008","-81.39754486083984","ROOFTOP","1","commercial"
"302207003300011","277","WP","ROLLINS COLLEGE PARKING GARAGE AT SUNTRUST","PARK AVE","WINTER PARK","32789","","28.61016845703125","-81.3570556640625","GEOMETRIC_CENTER","0","commercial"
"302407002600322","276","ORL","MCLANE FOODSERVICE","2444 TRADEPORT DR","ORLANDO","32824","","28.410493850708008","-81.35157012939453","ROOFTOP","1","commercial"
"292317546500020","275","ORL","MALL AT MILLENIA - MACYS","4298 MILLENIA BLVD","ORLANDO","32839","","28.487274169921875","-81.43343353271484","ROOFTOP","1","commercial"
"292328638601000","269","ORG","ORLANDO CENTRAL PARK VII","2901 TITAN ROW","ORLANDO","32809","","28.45691680908203","-81.42189025878906","ROOFTOP","1","commercial"
"282112000000028","268","APK","CENTURY LINK","555 LAKE BORDER DR","APOPKA","32703","","28.670841217041016","-81.46356964111328","ROOFTOP","1","commercial"
"292213278001000","268","ORL","FLORIDA HOSPITAL - ROLLINS","601 E ROLLINS ST","ORLANDO","32803","","28.57439613342285","-81.36986541748047","ROOFTOP","1","commercial"
"282302820900040","266","ORL","VERANDA PARK - 4000 BUILDING","2121 S HIAWASSEE RD","ORLANDO","32835","","28.518112182617188","-81.47880554199219","ROOFTOP","1","commercial"
"292335184500030","265","ORG","BLDG#5","401 GILLS DR","ORLANDO","32824","","28.442222595214844","-81.38235473632812","ROOFTOP","1","commercial"
"292412004601210","264","ORL","SADLE CREEK COR. (SCOTTS DIST)","1001 TRADEPORT DR","ORLANDO","32824","","28.4195556640625","-81.36517333984375","ROOFTOP","1","commercial"
"292209924800110","264","ORL","COCA-COLA REFRESHMENTS","3250 SHADER RD","ORLANDO","32808","","28.583269119262695","-81.42138671875","ROOFTOP","1","commercial"
"302210882700020","264","ORG","FULL SAIL","120 UNIVERSITY PARK DR","ORLANDO","32792","","28.59157943725586","-81.30476379394531","ROOFTOP","1","commercial"
"292336843201000","263","ORG","","404 SUNPORT LN","ORLANDO","32809","","28.44778060913086","-81.36894226074219","ROOFTOP","1","commercial"
"282422891500100","258","ORG","COURTYARD BY MARRIOTT LBV AT VISTA CENTRE","8501 PALM PKWY","ORLANDO","32836","","28.386821746826172","-81.5018081665039","ROOFTOP","1","commercial"
"292328636403000","258","ORG","JOHN BEAN TECHNOLOGIES CORP.","7300 PRESIDENTS DR","ORLANDO","32809","","28.460338592529297","-81.41798400878906","ROOFTOP","1","commercial"
"292219695408080","257","ORG","PINE HILLS SHOPPING CENTER","5101 W COLONIAL DR","ORLANDO","32808","","28.553695678710938","-81.4516372680664","ROOFTOP","1","commercial"
"292328635302000","257","ORG","MITSUBISHI POWER SYSTEMS","2287 PREMIER ROW","ORLANDO","32809","","28.461414337158203","-81.41059112548828","ROOFTOP","1","commercial"
"292212499607010","256","ORL","CALVARY ASSEMBLY OF GOD","1820 MICHIGAN AVE","ORLANDO","32789","","28.587060928344727","-81.37462615966797","ROOFTOP","1","commercial"
